Applicant_ID,Skill_Level,Years_Experience,Expected_Salary
A_1,34,8,38071
A_2,88,8,56254
A_3,20,11,36780
A_4,27,0,23984
A_5,36,6,37408
A_6,48,13,52513
A_7,61,10,48362
A_8,79,0,43032
A_9,47,13,52369
A_10,39,0,30308
A_11,17,13,43902
A_12,95,0,44160
A_13,71,14,63166
A_14,88,2,45687
A_15,30,15,53421
A_16,31,5,39112
A_17,36,13,44355
A_18,23,10,36728
A_19,4,1,26126
A_20,1,6,34015
A_21,3,0,20168
A_22,62,7,46453
A_23,87,7,53849
A_24,70,1,41221
A_25,17,3,27262
A_26,59,1,38417
A_27,9,3,30957
A_28,49,8,41041
A_29,53,0,31499
A_30,56,13,56003
A_31,36,9,45932
A_32,17,13,39929
A_33,52,8,42769
A_34,90,8,54585
A_35,62,14,59676
A_36,4,14,44736
A_37,28,8,38811
A_38,43,5,34955
A_39,22,7,40137
A_40,25,13,46984
A_41,11,14,47255
A_42,22,13,45162
A_43,30,10,41609
A_44,51,2,39443
A_45,28,15,54437
A_46,8,14,43792
A_47,22,9,43440
A_48,42,14,50739
A_49,93,15,67995
A_50,91,8,56442
A_51,90,0,38879
A_52,38,0,24556
A_53,83,11,57809
A_54,37,2,29833
A_55,29,8,38851
A_56,66,6,41620
A_57,93,11,61180
A_58,34,13,51970
A_59,53,9,50813
A_60,26,10,36639
A_61,92,1,48009
A_62,42,1,31411
A_63,92,13,62467
A_64,6,6,29495
A_65,25,2,33911
A_66,17,12,45425
A_67,38,13,46864
A_68,34,11,43812
A_69,60,9,52951
A_70,74,7,49191
A_71,66,15,55296
A_72,90,13,62446
A_73,19,6,33237
A_74,100,14,68171
A_75,11,11,39627
A_76,68,6,48798
A_77,63,13,52437
A_78,48,12,54061
A_79,90,1,43460
A_80,100,15,66975
A_81,71,1,38524
A_82,41,8,40322
A_83,99,1,43440
A_84,76,15,65432
A_85,76,10,54991
A_86,70,4,45436
A_87,67,1,42452
A_88,60,2,37013
A_89,46,8,44149
A_90,94,5,54508
A_91,81,11,59532
A_92,88,8,49290
A_93,76,15,58911
A_94,10,15,49911
A_95,25,15,50197
A_96,78,15,64494
A_97,36,5,39553
A_98,36,5,40795
A_99,45,7,40926
A_100,3,1,20229
