Job_ID,Required_Skill_Level,Required_Experience,Salary_Offer
J_1,76,2,47597
J_2,60,0,41952
J_3,29,2,36528
J_4,35,8,34162
J_5,50,1,35879
J_6,10,10,44439
J_7,42,8,36857
J_8,25,2,36687
J_9,14,2,31243
J_10,86,9,47428
J_11,78,7,42988
J_12,87,8,53822
J_13,89,10,51755
J_14,86,0,36252
J_15,36,9,45047
J_16,28,5,36497
J_17,79,10,57880
J_18,12,3,26480
J_19,64,5,50130
J_20,56,8,44537
J_21,19,0,22094
J_22,58,7,51182
J_23,10,3,22138
J_24,10,4,30110
J_25,81,0,43629
J_26,30,10,39408
J_27,46,7,46225
J_28,71,8,47999
J_29,78,8,51372
J_30,58,0,30078
J_31,75,4,49724
J_32,86,1,36593
J_33,62,3,42045
J_34,66,9,52312
J_35,48,1,28424
J_36,18,0,22052
J_37,35,5,36302
J_38,58,5,44848
J_39,78,7,46625
J_40,69,7,48701
J_41,32,3,35579
J_42,71,10,60595
J_43,72,9,59260
J_44,91,3,47880
J_45,43,7,38405
J_46,82,8,58836
J_47,56,1,42643
J_48,28,3,36862
J_49,90,3,43696
J_50,74,10,56975
J_51,92,0,38729
J_52,24,10,38044
J_53,40,3,31562
J_54,29,9,33136
J_55,13,10,36289
J_56,11,5,26969
J_57,31,5,38217
J_58,30,0,29817
J_59,77,2,47182
J_60,43,4,35107
J_61,21,9,42432
J_62,32,7,36289
J_63,56,2,32963
J_64,14,6,30213
J_65,57,6,39483
J_66,41,2,30001
J_67,49,9,42217
J_68,48,0,27777
J_69,11,9,30315
J_70,36,2,36384
J_71,52,8,47473
J_72,46,2,28225
J_73,71,0,37291
J_74,51,3,43135
J_75,76,0,38308
J_76,31,10,43146
J_77,31,2,33879
J_78,87,4,41681
J_79,43,10,38537
J_80,47,10,46508
J_81,83,5,55459
J_82,23,3,36766
J_83,10,3,28841
J_84,51,3,42494
J_85,42,7,34230
J_86,33,9,38155
J_87,32,10,38979
J_88,23,0,20851
J_89,83,6,47847
J_90,52,10,52558
J_91,19,6,33175
J_92,79,2,41777
J_93,35,7,34251
J_94,87,1,44288
J_95,86,8,46341
J_96,94,5,45657
J_97,74,5,49853
J_98,17,1,22467
J_99,29,4,40585
J_100,62,10,47481
